id,title,score
23,linkedin,1.0
24,普通用户也可在应用中心中交互式体验模型的能力,1.0
27,captcha,1.0
29,diagramming,1.0
28,influxdb,0.5130488932132721
20,intelligence,0.4347265660762787
15,tesla,0.3665338337421417
11,charts,0.36115844547748566
26,404,0.33523308485746384
16,apps,0.3149453004201253
10,stream,0.30282865677561077
22,diffusion,0.16439926127592722
25,bootstrap,0.14065834088250995
13,scraping,0.10162711569241115
19,strom,0.04790122160920873
18,github,0.04240081863313475
9,fonts,0.04229324227864189
8,venture,0.04131644354809238
17,hosting,0.0371254638923953
6,analytics,0.025043174911003847
12,founders,0.02472577172156889
4,austrian,0.024685269547626378
5,ai,0.02044239267706871
1,nicht,0.009307053924368864
14,und,-0.0015903706551485119
7,motor,-0.0038437079347204417
30,software,-0.013654926947007576
21,web,-0.02036592005687352
3,google,-0.03048770899130475
2,market,-0.04855363752899899
0,docker,-0.07204009050296413
